,s,max_uss
count,5.0,5.0
mean,34.4869,1009.1780000000001
std,0.34138126779306377,3.8876753979724317
min,33.9718,1005.64
25%,34.3406,1006.1
50%,34.5613,1007.93
75%,34.752,1011.38
max,34.8088,1014.84
