,s,max_uss
count,5.0,5.0
mean,164.26904,73.8
std,0.5043731832681004,1.11440567119878
min,163.7771,72.41
25%,164.0951,73.39
50%,164.103,73.47
75%,164.2539,74.37
max,165.1161,75.36
