,s,max_uss
count,5.0,5.0
mean,171.99456000000004,704.8859999999999
std,3.7479173454066506,9.767171033620757
min,167.4646,693.06
25%,168.7644,696.41
50%,172.7428,708.45
75%,175.2884,710.33
max,175.7126,716.18
