,s,max_uss
count,5.0,5.0
mean,37.53166,315.746
std,0.9657309785856532,39.19755068878666
min,36.7435,250.16
25%,36.9608,316.86
50%,37.0887,320.33
75%,37.7385,341.9
max,39.1268,349.48
