,s,max_uss
count,5.0,5.0
mean,14.561419999999998,25.564
std,0.18897059824216056,0.07924645102463604
min,14.4035,25.43
25%,14.4863,25.57
50%,14.4965,25.59
75%,14.532,25.59
max,14.8888,25.64
