,s,max_uss
count,5.0,5.0
mean,16.47338,70.41600000000001
std,1.330039592267839,0.011401754250992227
min,15.4808,70.4
25%,15.4969,70.41
50%,15.8713,70.42
75%,16.9018,70.42
max,18.6161,70.43
