,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,fastp,100000000,120,-15,0.01,0,1.0,0,180661458,180661458,1.0,0.999999970672675,1.0,0.0,0.0,1.2736695608864838e-07
1,fastp,100000000,120,-15,0.01,1,0.7943282347242815,25656478,85902977,111559455,0.770019690397376,0.7699170477585482,0.770122310008911,1.1349816921506304,1.1344029516049035,1.1355606397218188
2,fastp,100000000,120,-15,0.01,3,0.5011872336272722,2979428,2260353,5239781,0.43138310551528775,0.4308257560243616,0.4319405796147827,3.651368674049115,3.64575993278474,3.6569834120299656
3,fastp,100000000,120,-15,0.01,6,0.251188643150958,5423527,1820258,7243785,0.25128548127808875,0.2508704533370869,0.25170083592919545,5.998326032616338,5.991153421042634,6.005504853903869
4,fastp,100000000,120,-15,0.01,7,0.19952623149688797,616748,153441,770189,0.1992251252614618,0.19805401841817816,0.20039995006282418,7.00655891442881,6.981023910255634,7.03216341549836
5,fastp,100000000,120,-15,0.01,8,0.15848931924611134,18695499,3519898,22215397,0.15844407372058217,0.1582445661875711,0.15864372753948053,8.001240000747014,7.995770943725418,8.00671193887352
6,fastp,100000000,120,-15,0.01,9,0.12589254117941673,11864436,1599449,13463885,0.11879550367520221,0.11856847348346522,0.11902280327648773,9.251999967790908,9.243698252594882,9.260307714462808
7,fastp,100000000,120,-15,0.01,10,0.1,38823688,3886510,42710198,0.09099723677235118,0.09088391371431415,0.09111065094407156,10.409717952914384,10.40430850514872,10.415129793010486
8,fastp,100000000,120,-15,0.01,11,0.07943282347242814,19058697,1481249,20539946,0.07211552552280323,0.07196857948984547,0.07226266977867712,11.419712273328834,11.41085997255562,11.428570692981943
9,fastp,100000000,120,-15,0.01,12,0.06309573444801933,39759110,2422325,42181435,0.057426329853405886,0.057334095986002365,0.057518663552504457,12.408889388180288,12.401912133504094,12.415870308299706
10,fastp,100000000,120,-15,0.01,13,0.05011872336272722,41057233,1953368,43010601,0.045415966170758694,0.045334226032611946,0.04549780687490235,13.4279144227785,13.420095370809836,13.435737943519406
11,fastp,100000000,120,-15,0.01,14,0.039810717055349734,68940262,2598468,71538730,0.036322534660595734,0.036265581396634605,0.03637954959476808,14.398238531382411,14.391426821201915,14.405053556949628
12,fastp,100000000,120,-15,0.01,15,0.03162277660168379,9455102,259001,9714103,0.026662369134854758,0.026529413061465834,0.026795789006003656,15.741012631562018,15.719334505663042,15.76272358271962
13,fastp,100000000,120,-15,0.01,16,0.025118864315095794,73423597,1721651,75145248,0.022910976353421576,0.022866541361672432,0.022955471756018975,16.399564029158704,16.391137776559397,16.40799518870782
14,fastp,100000000,120,-15,0.01,17,0.0199526231496888,30813652,508091,31321743,0.016221670677778053,0.01616358611171842,0.01627990223563469,17.89904419620821,17.883482074721165,17.914622787254395
15,fastp,100000000,120,-15,0.01,18,0.015848931924611134,165360453,2250127,167610580,0.013424731302761436,0.013401844828322074,0.013447645399125685,18.720943979856376,18.71353751325977,18.728354147983733
16,fastp,100000000,120,-15,0.01,19,0.012589254117941675,364739506,3862050,368601556,0.010477573784306,0.010463917770421993,0.010491242433969261,19.79739272130566,19.791730770814198,19.803056818631084
17,fastp,100000000,120,-15,0.01,20,0.01,140758132,1322820,142080952,0.009310326130134602,0.009289585105618947,0.009331100017115901,20.310351059104804,20.30067155481461,20.32003682170403
18,fastp,100000000,120,-15,0.01,21,0.007943282347242814,226033297,1661132,227694429,0.007295444193761983,0.0072809252634465915,0.007309983713878365,21.369482603124386,21.3608359061815,21.37813426830469
19,fastp,100000000,120,-15,0.01,22,0.00630957344480193,332787802,1914367,334702169,0.005719613367668376,0.00570900131722385,0.005730239469735721,22.42633327494259,22.41827228257451,22.434398567896068
20,fastp,100000000,120,-15,0.01,23,0.005011872336272725,6076341593,27475407,6103817000,0.004501348418538761,0.004499141694059516,0.004503555915325919,23.46657370000324,23.464444407659553,23.468703291329113
