program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l140_merged.fq.gz,1000000,140,999933,974490,25510,0.056,0:901359 1:70461 2:2622 3:47 4:1
bbmerge,gen_n1000000_l141_merged.fq.gz,1000000,141,999920,976129,23871,0.057,0:900749 1:72556 2:2764 3:60
bbmerge,gen_n1000000_l142_merged.fq.gz,1000000,142,999926,976734,23266,0.058,0:899227 1:74464 2:2971 3:70 4:2
bbmerge,gen_n1000000_l143_merged.fq.gz,1000000,143,999923,976782,23218,0.06,0:896426 1:77120 2:3150 3:82 4:4
bbmerge,gen_n1000000_l144_merged.fq.gz,1000000,144,999929,976579,23421,0.061,0:894579 1:78631 2:3287 3:80 4:2
bbmerge,gen_n1000000_l145_merged.fq.gz,1000000,145,999941,974741,25259,0.062,0:890972 1:80164 2:3499 3:103 4:3
bbmerge,gen_n1000000_l146_merged.fq.gz,1000000,146,999918,976220,23780,0.063,0:889832 1:82576 2:3695 3:114 4:3
bbmerge,gen_n1000000_l147_merged.fq.gz,1000000,147,999928,976295,23705,0.064,0:888098 1:84274 2:3803 3:119 4:1
bbmerge,gen_n1000000_l148_merged.fq.gz,1000000,148,999929,976415,23585,0.066,0:885770 1:86499 2:4022 3:123 4:1
bbmerge,gen_n1000000_l149_merged.fq.gz,1000000,149,999905,975548,24452,0.066,0:883807 1:87403 2:4206 3:127 4:5
bbmerge,gen_n1000000_l14_merged.fq.gz,1000000,14,999905,896696,103304,0.0,0:896688 1:8
bbmerge,gen_n1000000_l150_merged.fq.gz,1000000,150,999910,974246,25754,0.068,0:879517 1:90117 2:4483 3:125 4:4
bbmerge,gen_n1000000_l151_merged.fq.gz,1000000,151,999918,976330,23670,0.069,0:879870 1:91755 2:4554 3:149 4:2
bbmerge,gen_n1000000_l152_merged.fq.gz,1000000,152,999907,975695,24305,0.07,0:876805 1:93773 2:4957 3:156 4:4
bbmerge,gen_n1000000_l153_merged.fq.gz,1000000,153,999917,975203,24797,0.071,0:874249 1:95738 2:5048 3:164 4:4
bbmerge,gen_n1000000_l154_merged.fq.gz,1000000,154,999919,974419,25581,0.072,0:871767 1:97123 2:5332 3:193 4:3 5:1
bbmerge,gen_n1000000_l155_merged.fq.gz,1000000,155,999921,972608,27392,0.073,0:867983 1:99002 2:5421 3:197 4:5
bbmerge,gen_n1000000_l156_merged.fq.gz,1000000,156,999910,974384,25616,0.074,0:867340 1:101227 2:5612 3:200 4:5
bbmerge,gen_n1000000_l157_merged.fq.gz,1000000,157,999908,974720,25280,0.075,0:865555 1:103049 2:5902 3:210 4:4
bbmerge,gen_n1000000_l158_merged.fq.gz,1000000,158,999901,974469,25531,0.076,0:863864 1:104143 2:6212 3:242 4:8
bbmerge,gen_n1000000_l159_merged.fq.gz,1000000,159,999923,973052,26948,0.078,0:859909 1:106586 2:6277 3:272 4:8
bbmerge,gen_n1000000_l15_merged.fq.gz,1000000,15,999912,901749,98251,0.0,0:901743 1:6
bbmerge,gen_n1000000_l160_merged.fq.gz,1000000,160,999924,971404,28596,0.079,0:856408 1:108097 2:6623 3:264 4:12
bbmerge,gen_n1000000_l161_merged.fq.gz,1000000,161,999922,972766,27234,0.079,0:855695 1:109969 2:6796 3:291 4:15
bbmerge,gen_n1000000_l162_merged.fq.gz,1000000,162,999908,973993,26007,0.081,0:854514 1:112075 2:7109 3:285 4:10
bbmerge,gen_n1000000_l163_merged.fq.gz,1000000,163,999909,973789,26211,0.081,0:852566 1:113461 2:7432 3:314 4:16
bbmerge,gen_n1000000_l164_merged.fq.gz,1000000,164,999911,972892,27108,0.083,0:849481 1:115211 2:7856 3:334 4:9 5:1
bbmerge,gen_n1000000_l165_merged.fq.gz,1000000,165,999920,971462,28538,0.083,0:846855 1:116348 2:7891 3:360 4:8
bbmerge,gen_n1000000_l166_merged.fq.gz,1000000,166,999919,972654,27346,0.084,0:845548 1:118512 2:8206 3:377 4:11
bbmerge,gen_n1000000_l167_merged.fq.gz,1000000,167,999919,972595,27405,0.085,0:843506 1:120139 2:8572 3:369 4:9
bbmerge,gen_n1000000_l168_merged.fq.gz,1000000,168,999928,972458,27542,0.087,0:840586 1:122735 2:8728 3:400 4:9
bbmerge,gen_n1000000_l169_merged.fq.gz,1000000,169,999927,971411,28589,0.088,0:837728 1:124016 2:9205 3:447 4:15
bbmerge,gen_n1000000_l16_merged.fq.gz,1000000,16,999930,901540,98460,0.0,0:901530 1:10
bbmerge,gen_n1000000_l170_merged.fq.gz,1000000,170,999914,969378,30622,0.088,0:833929 1:125836 2:9150 3:443 4:20
bbmerge,gen_n1000000_l171_merged.fq.gz,1000000,171,999908,971327,28673,0.089,0:833852 1:127509 2:9489 3:464 4:13
bbmerge,gen_n1000000_l172_merged.fq.gz,1000000,172,999934,970632,29368,0.09,0:830908 1:129210 2:9999 3:499 4:16
bbmerge,gen_n1000000_l173_merged.fq.gz,1000000,173,999908,969245,30755,0.091,0:827255 1:131259 2:10210 3:503 4:18
bbmerge,gen_n1000000_l174_merged.fq.gz,1000000,174,999922,968531,31469,0.092,0:824884 1:132836 2:10258 3:528 4:25
bbmerge,gen_n1000000_l175_merged.fq.gz,1000000,175,999919,965651,34349,0.093,0:820282 1:133980 2:10806 3:569 4:14
bbmerge,gen_n1000000_l176_merged.fq.gz,1000000,176,999930,964679,35321,0.094,0:817208 1:135837 2:11001 3:596 4:35 5:2
bbmerge,gen_n1000000_l177_merged.fq.gz,1000000,177,999904,965815,34185,0.095,0:815834 1:137845 2:11510 3:602 4:22 5:2
bbmerge,gen_n1000000_l178_merged.fq.gz,1000000,178,999922,966296,33704,0.096,0:814551 1:139522 2:11537 3:656 4:27 5:3
bbmerge,gen_n1000000_l179_merged.fq.gz,1000000,179,999910,966359,33641,0.097,0:812677 1:140985 2:11982 3:682 4:32 5:1
bbmerge,gen_n1000000_l17_merged.fq.gz,1000000,17,999908,926368,73632,0.001,0:926284 1:84
bbmerge,gen_n1000000_l180_merged.fq.gz,1000000,180,999911,965658,34342,0.098,0:809373 1:143083 2:12450 3:717 4:34 5:1
bbmerge,gen_n1000000_l181_merged.fq.gz,1000000,181,999920,967195,32805,0.099,0:808225 1:145246 2:12972 3:713 4:38 5:1
bbmerge,gen_n1000000_l182_merged.fq.gz,1000000,182,999911,967387,32613,0.1,0:806946 1:146458 2:13187 3:764 4:31 5:1
bbmerge,gen_n1000000_l183_merged.fq.gz,1000000,183,999919,966677,33323,0.1,0:804553 1:147767 2:13515 3:806 4:35 5:1
bbmerge,gen_n1000000_l184_merged.fq.gz,1000000,184,999927,966001,33999,0.101,0:801783 1:149554 2:13770 3:849 4:44 5:1
bbmerge,gen_n1000000_l185_merged.fq.gz,1000000,185,999927,964131,35869,0.102,0:797885 1:151383 2:13996 3:829 4:38
bbmerge,gen_n1000000_l186_merged.fq.gz,1000000,186,999918,966060,33940,0.103,0:797089 1:153360 2:14671 3:900 4:40
bbmerge,gen_n1000000_l187_merged.fq.gz,1000000,187,999921,966740,33260,0.104,0:795198 1:155562 2:15007 3:912 4:58 5:3
bbmerge,gen_n1000000_l188_merged.fq.gz,1000000,188,999937,965533,34467,0.105,0:792233 1:156912 2:15315 3:1020 4:51 5:2
bbmerge,gen_n1000000_l189_merged.fq.gz,1000000,189,999926,965008,34992,0.106,0:789108 1:158995 2:15760 3:1087 4:57 5:1
bbmerge,gen_n1000000_l18_merged.fq.gz,1000000,18,999896,926858,73142,0.001,0:926703 1:155
bbmerge,gen_n1000000_l190_merged.fq.gz,1000000,190,999921,961868,38132,0.107,0:784232 1:160272 2:16218 3:1064 4:77 5:5
bbmerge,gen_n1000000_l191_merged.fq.gz,1000000,191,999912,961817,38183,0.108,0:782061 1:161800 2:16816 3:1086 4:53 5:1
bbmerge,gen_n1000000_l192_merged.fq.gz,1000000,192,999918,961732,38268,0.109,0:779682 1:163897 2:16905 3:1170 4:78
bbmerge,gen_n1000000_l193_merged.fq.gz,1000000,193,999912,961500,38500,0.11,0:777609 1:165064 2:17440 3:1325 4:58 5:4
bbmerge,gen_n1000000_l194_merged.fq.gz,1000000,194,999921,960567,39433,0.111,0:773653 1:167714 2:17895 3:1238 4:67
bbmerge,gen_n1000000_l195_merged.fq.gz,1000000,195,999926,958542,41458,0.112,0:770826 1:168090 2:18227 3:1335 4:61 5:2 6:1
bbmerge,gen_n1000000_l196_merged.fq.gz,1000000,196,999915,959000,41000,0.113,0:768495 1:170364 2:18707 3:1351 4:80 5:3
bbmerge,gen_n1000000_l197_merged.fq.gz,1000000,197,999922,959465,40535,0.114,0:766526 1:172393 2:19074 3:1397 4:72 5:3
bbmerge,gen_n1000000_l198_merged.fq.gz,1000000,198,999926,958857,41143,0.115,0:763618 1:173915 2:19769 3:1470 4:78 5:6 6:1
bbmerge,gen_n1000000_l199_merged.fq.gz,1000000,199,999916,958048,41952,0.116,0:760457 1:175994 2:19989 3:1509 4:95 5:4
bbmerge,gen_n1000000_l19_merged.fq.gz,1000000,19,999914,924773,75227,0.001,0:924558 1:215
bbmerge,gen_n1000000_l1_merged.fq.gz,1000000,1,999924,2,999998,23950.0,239:1 240:1
bbmerge,gen_n1000000_l200_merged.fq.gz,1000000,200,999929,956542,43458,0.117,0:756961 1:177109 2:20785 3:1568 4:114 5:5
bbmerge,gen_n1000000_l201_merged.fq.gz,1000000,201,999930,956864,43136,0.118,0:755177 1:178996 2:20958 3:1616 4:112 5:5
bbmerge,gen_n1000000_l202_merged.fq.gz,1000000,202,999926,955812,44188,0.119,0:751625 1:180506 2:21892 3:1689 4:91 5:9
bbmerge,gen_n1000000_l203_merged.fq.gz,1000000,203,999899,955172,44828,0.12,0:748388 1:183041 2:21887 3:1732 4:117 5:7
bbmerge,gen_n1000000_l204_merged.fq.gz,1000000,204,999922,955021,44979,0.121,0:746109 1:184742 2:22248 3:1813 4:105 5:4
