program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l13_merged.fq.gz,1000000,13,999918,4,999996,1748.077,225:1 228:3
bbmerge,gen_n1000000_l140_merged.fq.gz,1000000,140,999933,986755,13245,0.056,0:912751 1:71307 2:2648 3:48 4:1
bbmerge,gen_n1000000_l141_merged.fq.gz,1000000,141,999920,986673,13327,0.057,0:910543 1:73270 2:2800 3:60
bbmerge,gen_n1000000_l142_merged.fq.gz,1000000,142,999926,986081,13919,0.058,0:907912 1:75099 2:2998 3:70 4:2
bbmerge,gen_n1000000_l143_merged.fq.gz,1000000,143,999923,985256,14744,0.06,0:904294 1:77701 2:3175 3:82 4:4
bbmerge,gen_n1000000_l144_merged.fq.gz,1000000,144,999929,984708,15292,0.061,0:902070 1:79242 2:3314 3:80 4:2
bbmerge,gen_n1000000_l145_merged.fq.gz,1000000,145,999941,985699,14301,0.062,0:901060 1:81010 2:3522 3:104 4:3
bbmerge,gen_n1000000_l146_merged.fq.gz,1000000,146,999918,985093,14907,0.063,0:897949 1:83310 2:3716 3:115 4:3
bbmerge,gen_n1000000_l147_merged.fq.gz,1000000,147,999928,985022,14978,0.064,0:896123 1:84943 2:3835 3:120 4:1
bbmerge,gen_n1000000_l148_merged.fq.gz,1000000,148,999929,984272,15728,0.066,0:892978 1:87116 2:4054 3:123 4:1
bbmerge,gen_n1000000_l149_merged.fq.gz,1000000,149,999905,983658,16342,0.066,0:891175 1:88107 2:4243 3:128 4:5
bbmerge,gen_n1000000_l14_merged.fq.gz,1000000,14,999905,4,999996,1617.857,226:2 227:2
bbmerge,gen_n1000000_l150_merged.fq.gz,1000000,150,999910,985055,14945,0.068,0:889337 1:91059 2:4530 3:125 4:4
bbmerge,gen_n1000000_l151_merged.fq.gz,1000000,151,999918,985145,14855,0.069,0:887897 1:92509 2:4587 3:150 4:2
bbmerge,gen_n1000000_l152_merged.fq.gz,1000000,152,999907,984438,15562,0.07,0:884730 1:94553 2:4993 3:158 4:4
bbmerge,gen_n1000000_l153_merged.fq.gz,1000000,153,999917,983486,16514,0.071,0:881634 1:96584 2:5097 3:167 4:4
bbmerge,gen_n1000000_l154_merged.fq.gz,1000000,154,999919,982832,17168,0.072,0:879276 1:97974 2:5384 3:194 4:3 5:1
bbmerge,gen_n1000000_l155_merged.fq.gz,1000000,155,999921,983820,16180,0.073,0:878048 1:100086 2:5482 3:199 4:5
bbmerge,gen_n1000000_l156_merged.fq.gz,1000000,156,999910,983480,16520,0.074,0:875422 1:102185 2:5666 3:202 4:5
bbmerge,gen_n1000000_l157_merged.fq.gz,1000000,157,999908,983215,16785,0.075,0:873130 1:103925 2:5944 3:211 4:5
bbmerge,gen_n1000000_l158_merged.fq.gz,1000000,158,999901,982292,17708,0.076,0:870784 1:104983 2:6272 3:245 4:8
bbmerge,gen_n1000000_l159_merged.fq.gz,1000000,159,999923,981052,18948,0.078,0:866912 1:107524 2:6333 3:274 4:8 5:1
bbmerge,gen_n1000000_l15_merged.fq.gz,1000000,15,999912,1,999999,1506.667,226:1
bbmerge,gen_n1000000_l160_merged.fq.gz,1000000,160,999924,982671,17329,0.079,0:866350 1:109333 2:6710 3:266 4:12
bbmerge,gen_n1000000_l161_merged.fq.gz,1000000,161,999922,983159,16841,0.079,0:864859 1:111131 2:6861 3:293 4:15
bbmerge,gen_n1000000_l162_merged.fq.gz,1000000,162,999908,982579,17421,0.081,0:862026 1:113078 2:7176 3:289 4:10
bbmerge,gen_n1000000_l163_merged.fq.gz,1000000,163,999909,982104,17896,0.081,0:859823 1:114448 2:7501 3:316 4:16
bbmerge,gen_n1000000_l164_merged.fq.gz,1000000,164,999911,981120,18880,0.083,0:856578 1:116262 2:7935 3:335 4:9 5:1
bbmerge,gen_n1000000_l165_merged.fq.gz,1000000,165,999920,982294,17706,0.083,0:856291 1:117663 2:7970 3:362 4:8
bbmerge,gen_n1000000_l166_merged.fq.gz,1000000,166,999919,981896,18104,0.084,0:853584 1:119642 2:8281 3:378 4:11
bbmerge,gen_n1000000_l167_merged.fq.gz,1000000,167,999919,981425,18575,0.085,0:851213 1:121176 2:8654 3:373 4:9
bbmerge,gen_n1000000_l168_merged.fq.gz,1000000,168,999928,980637,19363,0.087,0:847606 1:123826 2:8794 3:402 4:9
bbmerge,gen_n1000000_l169_merged.fq.gz,1000000,169,999927,979525,20475,0.088,0:844738 1:125046 2:9273 3:452 4:16
bbmerge,gen_n1000000_l16_merged.fq.gz,1000000,16,999930,0,1000000,NA,
bbmerge,gen_n1000000_l170_merged.fq.gz,1000000,170,999914,981461,18539,0.088,0:844317 1:127428 2:9248 3:448 4:20
bbmerge,gen_n1000000_l171_merged.fq.gz,1000000,171,999908,981189,18811,0.089,0:842363 1:128771 2:9575 3:466 4:14
bbmerge,gen_n1000000_l172_merged.fq.gz,1000000,172,999934,980289,19711,0.09,0:839189 1:130474 2:10100 3:510 4:16
bbmerge,gen_n1000000_l173_merged.fq.gz,1000000,173,999908,979956,20044,0.091,0:836430 1:132686 2:10314 3:508 4:18
bbmerge,gen_n1000000_l174_merged.fq.gz,1000000,174,999922,979336,20664,0.092,0:834159 1:134255 2:10364 3:533 4:25
bbmerge,gen_n1000000_l175_merged.fq.gz,1000000,175,999919,978970,21030,0.093,0:831755 1:135687 2:10939 3:575 4:14
bbmerge,gen_n1000000_l176_merged.fq.gz,1000000,176,999930,979138,20862,0.094,0:829559 1:137791 2:11153 3:598 4:35 5:2
bbmerge,gen_n1000000_l177_merged.fq.gz,1000000,177,999904,979136,20864,0.095,0:827143 1:139696 2:11657 3:615 4:23 5:2
bbmerge,gen_n1000000_l178_merged.fq.gz,1000000,178,999922,978368,21632,0.096,0:824788 1:141206 2:11674 3:669 4:28 5:3
bbmerge,gen_n1000000_l179_merged.fq.gz,1000000,179,999910,977423,22577,0.097,0:821971 1:142605 2:12120 3:693 4:33 5:1
bbmerge,gen_n1000000_l17_merged.fq.gz,1000000,17,999908,3,999997,1317.647,224:3
bbmerge,gen_n1000000_l180_merged.fq.gz,1000000,180,999911,978248,21752,0.098,0:820010 1:144866 2:12609 3:728 4:34 5:1
bbmerge,gen_n1000000_l181_merged.fq.gz,1000000,181,999920,977934,22066,0.099,0:817279 1:146799 2:13097 3:720 4:38 5:1
bbmerge,gen_n1000000_l182_merged.fq.gz,1000000,182,999911,976929,23071,0.1,0:814893 1:147906 2:13320 3:776 4:33 5:1
bbmerge,gen_n1000000_l183_merged.fq.gz,1000000,183,999919,976128,23872,0.1,0:812418 1:149200 2:13660 3:813 4:36 5:1
bbmerge,gen_n1000000_l184_merged.fq.gz,1000000,184,999927,975525,24475,0.101,0:809672 1:151049 2:13902 3:856 4:45 5:1
bbmerge,gen_n1000000_l185_merged.fq.gz,1000000,185,999927,976084,23916,0.102,0:807855 1:153199 2:14151 3:841 4:38
bbmerge,gen_n1000000_l186_merged.fq.gz,1000000,186,999918,976315,23685,0.103,0:805489 1:155053 2:14821 3:910 4:42
bbmerge,gen_n1000000_l187_merged.fq.gz,1000000,187,999921,975929,24071,0.104,0:802761 1:157024 2:15160 3:923 4:58 5:3
